"country","year","Month","start","end","dengue","rainfall","temperature"
"VIET NAM","1994","2","1994-02-01","1994-02-28","1095","32.9093","22.3773"
"VIET NAM","1994","3","1994-03-01","1994-03-31","1199","62.2816","21.149"
"VIET NAM","1994","4","1994-04-01","1994-04-30","1719","35.6912","26.6498"
"VIET NAM","1994","5","1994-05-01","1994-05-31","2208","235.487","27.5385"
"VIET NAM","1994","6","1994-06-01","1994-06-30","3686","248.917","26.9911"
"VIET NAM","1994","7","1994-07-01","1994-07-31","5160","405.597","27.0498"
"VIET NAM","1994","8","1994-08-01","1994-08-31","4580","302.481","26.9347"
"VIET NAM","1994","9","1994-09-01","1994-09-30","4520","320.645","26.2905"
"VIET NAM","1994","10","1994-10-01","1994-10-31","4428","204.564","24.3455"
"VIET NAM","1994","11","1994-11-01","1994-11-30","2777","138.529","23.3644"
"VIET NAM","1994","12","1994-12-01","1994-12-31","1346","103.222","22.2432"
"VIET NAM","1995","1","1995-01-01","1995-01-31","1559","33.7922","19.9174"
"VIET NAM","1995","2","1995-02-01","1995-02-28","1128","21.7449","20.1029"
"VIET NAM","1995","3","1995-03-01","1995-03-31","1464","30.9501","22.3825"
"VIET NAM","1995","4","1995-04-01","1995-04-30","1607","39.9035","26.6082"
"VIET NAM","1995","5","1995-05-01","1995-05-31","2766","151.754","27.1686"
"VIET NAM","1995","6","1995-06-01","1995-06-30","4648","229.87","27.8195"
"VIET NAM","1995","7","1995-07-01","1995-07-31","6653","330.118","27.2684"
"VIET NAM","1995","8","1995-08-01","1995-08-31","10106","287.467","27.1137"
"VIET NAM","1995","9","1995-09-01","1995-09-30","10406","227.125","26.584"
"VIET NAM","1995","10","1995-10-01","1995-10-31","9515","218.123","25.3163"
"VIET NAM","1995","11","1995-11-01","1995-11-30","7778","226.792","22.4686"
"VIET NAM","1995","12","1995-12-01","1995-12-31","5735","35.174","20.3245"
"VIET NAM","1996","1","1996-01-01","1996-01-31","2779","21.7386","20.0181"
"VIET NAM","1996","2","1996-02-01","1996-02-29","1650","17.3055","19.4103"
"VIET NAM","1996","3","1996-03-01","1996-03-31","1746","57.5022","22.3833"
"VIET NAM","1996","4","1996-04-01","1996-04-30","2295","86.9718","24.0762"
"VIET NAM","1996","5","1996-05-01","1996-05-31","4055","152.643","26.4539"
"VIET NAM","1996","6","1996-06-01","1996-06-30","10137","203.677","27.344"
"VIET NAM","1996","7","1996-07-01","1996-07-31","9900","221.349","27.3193"
"VIET NAM","1996","8","1996-08-01","1996-08-31","9438","288.609","27.1661"
"VIET NAM","1996","9","1996-09-01","1996-09-30","8321","348.562","26.3696"
"VIET NAM","1996","10","1996-10-01","1996-10-31","9451","207.102","25.1223"
"VIET NAM","1996","11","1996-11-01","1996-11-30","6614","276.233","23.4286"
"VIET NAM","1996","12","1996-12-01","1996-12-31","4610","38.6427","20.4298"
"VIET NAM","1997","1","1997-01-01","1997-01-31","3873","60.4016","20.15"
"VIET NAM","1997","2","1997-02-01","1997-02-28","2151","24.7278","20.2543"
"VIET NAM","1997","3","1997-03-01","1997-03-31","1817","72.0989","22.4195"
"VIET NAM","1997","4","1997-04-01","1997-04-30","2345","115.976","24.6844"
"VIET NAM","1997","5","1997-05-01","1997-05-31","2788","158.51","27.1732"
"VIET NAM","1997","6","1997-06-01","1997-06-30","4989","182.177","27.6041"
"VIET NAM","1997","7","1997-07-01","1997-07-31","8978","310.72","26.9861"
"VIET NAM","1997","8","1997-08-01","1997-08-31","11399","245.088","27.3201"
"VIET NAM","1997","9","1997-09-01","1997-09-30","14176","220.01","25.8838"
"VIET NAM","1997","10","1997-10-01","1997-10-31","13989","238.346","25.9285"
"VIET NAM","1997","11","1997-11-01","1997-11-30","11515","81.0013","23.9431"
"VIET NAM","1997","12","1997-12-01","1997-12-31","10583","101.692","22.3844"
"VIET NAM","1998","1","1998-01-01","1998-01-31","7224","20.8839","21.5527"
"VIET NAM","1998","2","1998-02-01","1998-02-28","4441","47.1918","22.4171"
"VIET NAM","1998","3","1998-03-01","1998-03-31","4071","35.0868","23.8282"
"VIET NAM","1998","4","1998-04-01","1998-04-30","6156","77.234","26.7089"
"VIET NAM","1998","5","1998-05-01","1998-05-31","7913","146.659","27.9538"
"VIET NAM","1998","6","1998-06-01","1998-06-30","12082","247.579","27.929"
"VIET NAM","1998","7","1998-07-01","1998-07-31","24087","218.192","27.7233"
"VIET NAM","1998","8","1998-08-01","1998-08-31","28315","244.635","27.7586"
"VIET NAM","1998","9","1998-09-01","1998-09-30","21713","249.119","27.0006"
"VIET NAM","1998","10","1998-10-01","1998-10-31","14931","169.381","25.8023"
"VIET NAM","1998","11","1998-11-01","1998-11-30","10827","215.888","23.6378"
"VIET NAM","1998","12","1998-12-01","1998-12-31","6267","100.497","21.7578"
"VIET NAM","1999","1","1999-01-01","1999-01-31","3334","64.4466","20.4104"
"VIET NAM","1999","2","1999-02-01","1999-02-28","1384","15.4733","21.8445"
