start,dengue
1994-02-01,1095
1994-03-01,1199
1994-04-01,1719
1994-05-01,2208
1994-06-01,3686
1994-07-01,5160
1994-08-01,4580
1994-09-01,4520
1994-10-01,4428
1994-11-01,2777
1994-12-01,1346
1995-01-01,1559
1995-02-01,1128
1995-03-01,1464
1995-04-01,1607
1995-05-01,2766
1995-06-01,4648
1995-07-01,6653
1995-08-01,10106
1995-09-01,10406
1995-10-01,9515
1995-11-01,7778
1995-12-01,5735
1996-01-01,2779
1996-02-01,1650
1996-03-01,1746
1996-04-01,2295
1996-05-01,4055
1996-06-01,10137
1996-07-01,9900
1996-08-01,9438
1996-09-01,8321
1996-10-01,9451
1996-11-01,6614
1996-12-01,4610
1997-01-01,3873
1997-02-01,2151
1997-03-01,1817
1997-04-01,2345
1997-05-01,2788
1997-06-01,4989
1997-07-01,8978
1997-08-01,11399
1997-09-01,14176
1997-10-01,13989
1997-11-01,11515
1997-12-01,10583
1998-01-01,7224
1998-02-01,4441
1998-03-01,4071
1998-04-01,6156
1998-05-01,7913
1998-06-01,12082
1998-07-01,24087
1998-08-01,28315
1998-09-01,21713
1998-10-01,14931
1998-11-01,10827
1998-12-01,6267
1999-01-01,3334
1999-02-01,1384
1999-03-01,1677
1999-04-01,2231
1999-05-01,3133
1999-06-01,2606
1999-07-01,2562
1999-08-01,2130
1999-09-01,2260
1999-10-01,2389
1999-11-01,2047
1999-12-01,1426
2000-01-01,921
2000-02-01,579
2000-03-01,853
2000-04-01,1046
2000-05-01,2489
2000-06-01,2706
2000-07-01,2619
2000-08-01,2753
2000-09-01,2230
2000-10-01,2293
2000-11-01,1848
2000-12-01,1524
2001-01-01,1336
2001-02-01,1254
2001-03-01,1084
2001-04-01,1395
2001-05-01,2533
2001-06-01,5120
2001-07-01,5779
2001-08-01,4890
2001-09-01,4129
2001-10-01,3240
2001-11-01,1937
2001-12-01,1445
2002-01-01,1018
2002-02-01,580
2002-03-01,619
2002-04-01,899
2002-05-01,1377
2002-06-01,1826
2002-07-01,3254
2002-08-01,3046
2002-09-01,2917
2002-10-01,3981
2002-11-01,2909
2002-12-01,1971
2003-01-01,1883
2003-02-01,1241
2003-03-01,1603
2003-04-01,1720
2003-05-01,1996
2003-06-01,3005
2003-07-01,3956
2003-08-01,4253
2003-09-01,4647
2003-10-01,5658
2003-11-01,5034
2003-12-01,4370
2004-01-01,2703
2004-02-01,2346
2004-03-01,2202
2004-04-01,3106
2004-05-01,4110
2004-06-01,7031
2004-07-01,10424
2004-08-01,7836
2004-09-01,8121
2004-10-01,6394
2004-11-01,5484
2004-12-01,3985
2005-01-01,2478
2005-02-01,1311
2005-03-01,1504
2005-04-01,1951
2005-05-01,2269
2005-06-01,3341
2005-07-01,5179
2005-08-01,6008
2005-09-01,6930
2005-10-01,7831
2005-11-01,7111
2005-12-01,4151
2006-01-01,2949
2006-02-01,2345
2006-03-01,2281
2006-04-01,2364
2006-05-01,3125
2006-06-01,4814
2006-07-01,6571
2006-08-01,6859
2006-09-01,6201
2006-10-01,6889
2006-11-01,6487
2006-12-01,4937
2007-01-01,3158
2007-02-01,1491
2007-03-01,2114
2007-04-01,3259
2007-05-01,5485
2007-06-01,12099
2007-07-01,14723
2007-08-01,13487
2007-09-01,12588
2007-10-01,10449
2007-11-01,7564
2007-12-01,5001
2008-01-01,3390
2008-02-01,1907
2008-03-01,1862
2008-04-01,2175
2008-05-01,3526
2008-06-01,7298
2008-07-01,11299
2008-08-01,10195
2008-09-01,10433
2008-10-01,11681
2008-11-01,10042
2008-12-01,7775
2009-01-01,4323
2009-02-01,3151
2009-03-01,2922
2009-04-01,3398
2009-05-01,5412
2009-06-01,8827
2009-07-01,10747
2009-08-01,11863
2009-09-01,12397
2009-10-01,11456
2009-11-01,9739
2009-12-01,5264
2010-01-01,3382
2010-02-01,1910
2010-03-01,2169
2010-04-01,2125
2010-05-01,2765
2010-06-01,4486
2010-07-01,10734
2010-08-01,15169
2010-09-01,15395
2010-10-01,14411
2010-11-01,10070
2010-12-01,6639
